Designator,Footprint,Quantity,Value,LCSC Part #
AN1,MOLEX_1462350001_CHIP,1,1.575GHz ANT,1462350001
"C1, C2, C3, C4, C5, C6, C7",CAPC100X50X60L25N,7,1u,GRM155R61H105ME05D
"C10, C11, C12, C13",CAPC100X50X60L25N,4,1u,GRM155Z71A105KE01J
"C15, C17, C19, C21, C23, C25, C29",CAPC60X30X39L17L,7,100n,GRM033Z71C104KE14D
C16_2,CAPC60X30X39L17N,1,1uF,GRM033D70J105ME01D
"C16, C18, C20, C22, C24",CAPC60X30X33L15L,5,100p,GRM033R71H101KA12D
C26,CAPC60X30X33L15L,1,27p,GRM0335C1E270JA01D
"C27, C30",CAPC60X30X33L15L,2,470p,GRM033R71H471KA12D
C28,CAPC60X30X33L15L,1,6.8n,GRM033R71E682KE14D
"C31, C32",CAPC40X20X22L10L,2,10n,GRM022C71A103KE01L
"C33, C34, C35, C36",CAPC60X30X39L17L,4,1uF,GRM033D70J105ME01D
"C8, C9",CAPC200X125X145L45N,2,4.7u,GRM21BZ71H475ME15K
"D1, D2, D3",SOD370X155X135L32X57L,3,MBR0540T1G,MBR0580S1-7
J1,TXGA_FBB04004-F40S1003K6M,1,WisBlock,FBB04004-F40S1003K6M
J2,MOLEX_52435-2471,1,0524352471,0524352471
J4,AMPHENOL_10114830-10102LF,1,10114830-10102LF,10114830-10102LF
J5,GCT_USB3075-30-A,1,USB micro,USB3075-30-A
L2,INDC400X400X120L120N,1,10u,SRN4012BTA-100M
"MP1, MP2, MP3, MP4",MTGNP300H213Z565,4,M3 1mm,
Q1,SOT23-3P65_210X110L20X32L,1,SI1308EDL-T1-GE3,SI1308EDL-T1-GE3
"R1, R2, R3, R5, R8",RESC40X20X15L10N,5,10k,ERJ-XGNF1002Y
R4,RESC40X20X15L10N,1,100k,ERJ-XGNF1003Y
R6,RESC60X30X26L15L,1,20k,ERJ-1GNF2002C
R7,RESC40X20X15L10L,1,10k,ERJ-XGNF1002Y
"S1, S2",Panasonic_EVQPUA02K,2,tactile_sw,EVQ-PUA02K
U1,SOT23-5P95_270X145L35X35L,1,MCP73811T-420I/OT,MCP73811T-420I/OT
U2,QFN29P50_500X500X80L55X25T325L,1,MAX2769B,MAX2769BETI/V+T
"U3, U4",SOT23-5P65_210X110L42X22L,2,MAX8510EXK29+T,MAX8510EXK29+T
U5,SOT23-5P65_210X110L33X22N,1,MIC5365-3.0YC5-TR,MIC5365-3.0YC5-TR
Y1,OSCDFN4_250X320X100L70X80L,1,TXETCDSANF-16.368000,TXETCDSANF-16.368000
