Designator,Mid X,Mid Y,Rotation,Layer
AN1,144.65,-103.05,270.0,top
C1,143.85,-128.9,0.0,top
C10,144.35,-127.0,270.0,top
C11,141.15,-122.8,180.0,top
C12,135.55,-122.9,0.0,top
C13,135.55,-124.1,0.0,top
C15,133.247,-108.9,0.0,top
C16_2,151.69,-106.2,180.0,top
C16,133.25,-109.8,0.0,top
C17,135.55,-116.3,0.0,top
C18,135.55,-117.1,0.0,top
C19,134.55,-118.203,270.0,top
C2,141.75,-140.468,270.0,top
C20,132.95,-117.5,270.0,top
C21,128.444,-113.1,180.0,top
C22,136.6625,-112.4,90.0,top
C23,131.95,-117.503,270.0,top
C24,133.75,-118.2,270.0,top
C25,135.8625,-112.4,90.0,top
C26,132.05,-119.2,180.0,top
C27,132.053,-120.0,180.0,top
C28,133.803,-106.4,0.0,top
C29,144.95,-109.3,180.0,top
C3,139.45,-140.468,270.0,top
C30,126.994,-113.1,270.0,top
C31,142.25,-115.7,270.0,top
C32,142.237,-118.162,270.0,top
C33,142.15,-117.0,270.0,top
C34,142.137,-119.55,270.0,top
C35,145.95,-116.4,90.0,top
C36,145.95,-118.9,90.0,top
C4,139.25,-130.75,180.0,top
C5,138.3,-129.2,90.0,top
C6,132.525,-130.775,180.0,top
C7,140.6,-140.468,270.0,top
C8,148.65,-137.4,90.0,top
C9,147.65,-132.677,270.0,top
D1,144.75,-130.5,180.0,top
D2,150.15,-130.5,180.0,top
D3,135.75,-141.8,0.0,top
J1,132.245,-128.6325,180.0,top
J2,136.75,-135.525,0.0,top
J4,148.45,-111.5,0.0,top
J5,151.6625,-121.575,90.0,top
L2,149.65,-142.1,180.0,top
MP1,124.045,-128.4325,90.0,top
MP2,140.445,-128.4325,90.0,top
MP3,124.045,-102.4325,90.0,top
MP4,140.445,-102.4325,90.0,top
Q1,145.25,-140.6,0.0,top
R1,124.15,-133.5,180.0,top
R2,149.25,-132.763,270.0,top
R3,133.95,-125.3,270.0,top
R4,129.75,-130.9,0.0,top
R5,129.65,-131.6,180.0,top
R6,133.25,-119.5,90.0,top
R7,145.15,-114.637,270.0,top
R8,133.15,-125.3,270.0,top
S1,121.6875,-136.18,270.0,top
S2,151.5625,-136.18,90.0,top
U1,144.35,-124.075,180.0,top
U2,131.95,-113.1,270.0,top
U3,144.05,-116.1,90.0,top
U4,144.05,-118.6,90.0,top
U5,151.75,-108.0,270.0,top
Y1,144.25,-107.4,270.0,top
